t1,t2,t3,eig
FFTF,FTFT,TFTF,0.8561
FFTF,FTFT,TFTT,0.8716
FFTF,FTFT,TTFF,0.8396
FFTF,FTFT,TTFT,0.8716
FFTF,FTFT,TTTF,0.8716
FFTF,FTFT,TTTT,0.9815
FFTF,FTTF,FFFF,0.9616
FFTF,FTTF,FFFT,0.7265
FFTF,FTTF,FFTF,0.7265
FFTF,FTTF,FFTT,0.7224
FFTF,FTTF,FTFF,0.7265
FFTF,FTTF,FTFT,0.8396
FFTF,FTTF,FTTF,0.7224
FFTF,FTTF,FTTT,0.7710
FFTF,FTTF,TFFF,0.7710
FFTF,FTTF,TFFT,0.7224
FFTF,FTTF,TFTF,0.8396
FFTF,FTTF,TFTT,0.7265
FFTF,FTTF,TTFF,0.7224
FFTF,FTTF,TTFT,0.7265
FFTF,FTTF,TTTF,0.7265
FFTF,FTTF,TTTT,0.9616
FFTF,FTTT,FFFF,0.9627
FFTF,FTTT,FFFT,0.7822
FFTF,FTTT,FFTF,0.7822
FFTF,FTTT,FFTT,0.7710
FFTF,FTTT,FTFF,0.7822
FFTF,FTTT,FTFT,0.8708
FFTF,FTTT,FTTF,0.7710
FFTF,FTTT,FTTT,0.7914
FFTF,FTTT,TFFF,0.7914
FFTF,FTTT,TFFT,0.7710
FFTF,FTTT,TFTF,0.8708
FFTF,FTTT,TFTT,0.7822
FFTF,FTTT,TTFF,0.7710
FFTF,FTTT,TTFT,0.7822
FFTF,FTTT,TTTF,0.7822
FFTF,FTTT,TTTT,0.9627
FFTF,TFFF,FFFF,0.9627
FFTF,TFFF,FFFT,0.7822
FFTF,TFFF,FFTF,0.7822
FFTF,TFFF,FFTT,0.7710
FFTF,TFFF,FTFF,0.7822
FFTF,TFFF,FTFT,0.8708
FFTF,TFFF,FTTF,0.7710
FFTF,TFFF,FTTT,0.7914
FFTF,TFFF,TFFF,0.7914
FFTF,TFFF,TFFT,0.7710
FFTF,TFFF,TFTF,0.8708
FFTF,TFFF,TFTT,0.7822
FFTF,TFFF,TTFF,0.7710
FFTF,TFFF,TTFT,0.7822
FFTF,TFFF,TTTF,0.7822
FFTF,TFFF,TTTT,0.9627
FFTF,TFFT,FFFF,0.9616
FFTF,TFFT,FFFT,0.7265
FFTF,TFFT,FFTF,0.7265
FFTF,TFFT,FFTT,0.7224
FFTF,TFFT,FTFF,0.7265
FFTF,TFFT,FTFT,0.8396
FFTF,TFFT,FTTF,0.7224
FFTF,TFFT,FTTT,0.7710
FFTF,TFFT,TFFF,0.7710
FFTF,TFFT,TFFT,0.7224
FFTF,TFFT,TFTF,0.8396
FFTF,TFFT,TFTT,0.7265
FFTF,TFFT,TTFF,0.7224
FFTF,TFFT,TTFT,0.7265
FFTF,TFFT,TTTF,0.7265
FFTF,TFFT,TTTT,0.9616
FFTF,TFTF,FFFF,0.9815
FFTF,TFTF,FFFT,0.8716
FFTF,TFTF,FFTF,0.8716
FFTF,TFTF,FFTT,0.8396
FFTF,TFTF,FTFF,0.8716
FFTF,TFTF,FTFT,0.8561
FFTF,TFTF,FTTF,0.8396
FFTF,TFTF,FTTT,0.8708
FFTF,TFTF,TFFF,0.8708
FFTF,TFTF,TFFT,0.8396
FFTF,TFTF,TFTF,0.8561
FFTF,TFTF,TFTT,0.8716
FFTF,TFTF,TTFF,0.8396
FFTF,TFTF,TTFT,0.8716
FFTF,TFTF,TTTF,0.8716
FFTF,TFTF,TTTT,0.9815
FFTF,TFTT,FFFF,0.9669
FFTF,TFTT,FFFT,0.7131
FFTF,TFTT,FFTF,0.7131
FFTF,TFTT,FFTT,0.7265
FFTF,TFTT,FTFF,0.7131
FFTF,TFTT,FTFT,0.8716
FFTF,TFTT,FTTF,0.7265
FFTF,TFTT,FTTT,0.7822
