loaded webppl-oed [v0.0.1-84e993f]
loaded underscore [v1.8.3-84e993f]
loaded webppl [v0.8.1-84e993f]
skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
1	0.9423667608889463	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	25	0.9423667608889463	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs. How many are on? in [0, 1]	0.002840928668727376	0.4	-10.096643823309961
1	0.9453208490953722	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	26	0.9453208490953722	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not on. What proportion are hot? in [0, 1]	0.0012733445324743162	0.5	-10.096643823309961
1	0.9454935343992943	2	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.9],"hot":[0.7000000000000001],"on":[]}	{"bright":0.2,"hot":0.5,"on":0.4}	27	0.9454935343992943	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and not on. What proportion are hot? in [0, 1]	0.000014436136369656057	0.5	-10.096643823309961
1	0.05263157894736844	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	1	0.05263157894736844	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are bright and not on. What proportion are hot? in [0, 1]	0.2873961711085516	0.000001	-8.587150901669292
1	0.1513264848568584	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	2	0.15137934551008006	[{"bright":[],"hot":[],"on":["bright","hot"]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.32172557734728047	0.9	-8.587150901669292
1	0.13770144407011964	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	3	0.28542104163078247	[{"bright":["hot"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are not bright and hot. What proportion are on? in [0, 1]	0.3222096820514364	0.999999	-8.587150901669292
1	0.19240005752704337	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	4	0.39801098910514915	[{"bright":["hot"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.2598148805075783	0.9	-8.587150901669292
1	0.17469068091507142	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	5	0.36562203365234197	[{"bright":["hot"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are hot. What proportion are bright? in [0, 1]	0.23513910971855165	0.9	-8.587150901669292
1	0.08635401681978057	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	6	0.4150420897647944	[{"bright":["hot"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are not bright. What proportion are on? in [0, 1]	0.1965338587968302	0.9	-8.587150901669292
1	0.17474822550921085	3	[{"bright":[],"hot":[],"on":["hot"]}]	{"bright":[],"hot":[],"on":[0.999999]}	{"bright":0.9,"hot":0.9,"on":0.30000000000000004}	7	0.6297708688499188	[{"bright":["hot"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are hot and on. What proportion are bright? in [0, 1]	0.2033846495959112	0.9	-8.587150901669292
